date,t (file name),t,treatment,ID,fungus area,plate area,fungus norm to plate,area,contamination,Notes
,0,0,control,c1,54272,1195362,0.045402146,1.283715434,,
31-Oct,0,0,control,c2,65001,1070692,0.060709336,1.716516026,N,
31-Oct,0,0,control,c3,70160,1071468,0.065480257,1.851410649,N,
31-Oct,0,0,control,c4,72417,889128,0.081447216,2.30286577,N,
31-Oct,0,0,control,c5,51320,810712,0.063302381,1.789832659,N,
31-Oct,0,0,control,c6,41044,1196814,0.034294385,0.96965089,N,
31-Oct,0,0,control,c7,61999,1035096,0.05989686,1.693543813,N,
31-Oct,0,0,control,c8,37362,873336,0.042780785,1.20959821,N,
31-Oct,0,0,low,l1,51677,916052,0.056412736,1.595032544,N,
31-Oct,0,0,low,l2,46876,1246800,0.037597048,1.063031501,N,
31-Oct,0,0,low,l3,71097,985180,0.072166508,2.040459932,N,
31-Oct,0,0,low,l4,50529,1212540,0.041672027,1.178248814,N,
31-Oct,0,0,low,l5,69772,875608,0.07968406,2.253013704,N,
31-Oct,0,0,low,l6,66299,829864,0.079891404,2.258876228,N,
31-Oct,0,0,low,l7,42509,1020716,0.041646256,1.177520152,N,
31-Oct,0,0,low,l8,46929,1114160,0.042120521,1.190929682,N,
31-Oct,0,0,medium,m1,46577,743509,0.062644837,1.771241033,N,
31-Oct,0,0,medium,m2,29909,902548,0.033138404,0.936966291,N,
31-Oct,0,0,medium,m3,52382,1038368,0.05044647,1.426340332,N,
31-Oct,0,0,medium,m4,56308,805160,0.069933926,1.977335178,N,
31-Oct,0,0,medium,m5,38679,1020716,0.037893988,1.071427273,N,
31-Oct,0,0,medium,m6,62634,916052,0.068373848,1.933225001,N,
31-Oct,0,0,medium,m7,60345,1246800,0.048399904,1.368475039,N,
31-Oct,0,0,medium,m8,65944,957236,0.068890012,1.947819214,N,
31-Oct,0,0,high,h1,44991,929544,0.048401152,1.368510319,N,
31-Oct,0,0,high,h2,54670,832352,0.065681346,1.857096317,N,
31-Oct,0,0,high,h3,46695,962432,0.048517713,1.37180603,N,
31-Oct,0,0,high,h4,56233,760256,0.073965875,2.091335836,N,
31-Oct,0,0,high,h5,42050,723768,0.058098728,1.642702827,N,
31-Oct,0,0,high,h6,41899,833792,0.050251142,1.42081756,N,
31-Oct,0,0,high,h7,47071,1058600,0.044465332,1.257227631,N,
31-Oct,0,0,high,h8,57265,985128,0.058129502,1.643572947,N,
1-Nov,1,1,control,c1,46729,1212342,0.038544404,1.089817352,N,
1-Nov,1,1,control,c2,10606,146540,0.072376143,2.046387233,N,
1-Nov,1,1,control,c3,11793,157628,0.074815388,2.115355263,N,
1-Nov,1,1,control,c4,12000,142818,0.084023022,2.375694987,N,
1-Nov,1,1,control,c5,12033,144508,0.083268746,2.354368337,N,
1-Nov,1,1,control,c6,12218,163276,0.074830349,2.115778261,N,
1-Nov,1,1,control,c7,8585,182078,0.047150122,1.333138305,N,
1-Nov,1,1,control,c8,13331,184990,0.072063355,2.037543354,N,
1-Nov,1,1,low,l1,10452,153104,0.068267322,1.930213043,N,
1-Nov,1,1,low,l2,11782,161880,0.072782308,2.057871274,N,
